字段名,重复值,开始时间,结束时间,持续长度
ACTIVE_POWER_STATION,0.0,2024-01-05 20:09:00,2024-01-05 20:20:00,12
ACTIVE_POWER_STATION,0.0,2024-01-06 07:22:00,2024-01-06 07:37:00,16
ACTIVE_POWER_STATION,0.0,2024-01-06 12:28:00,2024-01-06 12:48:00,21
ACTIVE_POWER_STATION,0.0,2024-01-07 20:40:00,2024-01-07 20:43:00,4
ACTIVE_POWER_STATION,0.0,2024-01-08 04:54:00,2024-01-08 04:58:00,5
ACTIVE_POWER_STATION,0.0,2024-01-08 07:40:00,2024-01-08 07:43:00,4
ACTIVE_POWER_STATION,0.0,2024-01-08 10:13:00,2024-01-08 10:16:00,4
ACTIVE_POWER_STATION,0.0,2024-01-08 22:47:00,2024-01-08 22:50:00,4
ACTIVE_POWER_STATION,0.0,2024-01-08 22:55:00,2024-01-08 23:10:00,16
ACTIVE_POWER_STATION,0.0,2024-01-09 12:52:00,2024-01-09 12:57:00,6
ACTIVE_POWER_STATION,0.0,2024-01-09 13:08:00,2024-01-09 13:12:00,5
ACTIVE_POWER_STATION,0.0,2024-01-09 14:09:00,2024-01-09 14:14:00,6
