region,P_left,P_right,n_before,n_removed,n_after,median_resid,mad,threshold
high,4.0,8.0,11771,9,11762,0.05985433729687717,0.35516264415103893,2.6328206810916517
low,4.1000000000000005,4.2,333,0,333,2.8877085731071617e-05,0.34571871281242794,2.562812818078528
low,4.2,4.3,321,0,321,0.007908823421939992,0.33632403669430966,2.4931700840149174
low,4.3,4.4,303,0,303,-0.0016507729681785044,0.3016049845917186,2.2357977507784095
low,4.4,4.5,323,0,323,0.0012728768875964747,0.3213291858214884,2.3820132544946935
low,4.5,4.6000000000000005,301,0,301,0.0025757924431215606,0.3693662108529754,2.7381117210531065
low,4.6000000000000005,4.7,314,0,314,-0.006271344481004526,0.33334074915898526,2.4710549735155576
low,4.7,4.800000000000001,313,0,313,0.0017290171764181572,0.362784554366109,2.689321901515966
low,4.800000000000001,4.9,316,0,316,-0.0036568993424304086,0.3404632051664711,2.5238537398990504
low,4.9,5.0,301,1,300,0.004269880420717964,0.3277833020898355,2.4298576183919507
low,5.0,5.1000000000000005,334,0,334,0.0024279184466347026,0.35964075133068407,2.666016889614361
low,5.1000000000000005,5.2,305,0,305,-0.013375753207761854,0.3209021778532404,2.378847844426071
low,5.2,5.300000000000001,296,1,295,0.031068020638551852,0.31422022783001236,2.3293145489038816
low,5.300000000000001,5.4,296,0,296,-0.02735472707656128,0.3786591173328866,2.807000036788688
low,5.4,5.5,271,0,271,0.02494084838291233,0.3521541098041592,2.6105184159782318
low,5.5,5.6000000000000005,289,0,289,-0.003725718225052521,0.31809114442323816,2.3580096536094644
low,5.6000000000000005,5.7,282,0,282,0.01547919618503757,0.35661307177834534,2.643572701092874
low,5.7,5.800000000000001,302,0,302,0.004621873125522757,0.32087057431014565,2.3786135673611093
low,5.800000000000001,5.9,280,0,280,-0.003180176913701871,0.3275257751865328,2.4279485714577675
low,5.9,6.0,289,0,289,0.010591488373433933,0.3471624386382399,2.5735151576252724
low,6.0,6.1000000000000005,290,0,290,0.004653290296719792,0.3163692908215139,2.345245552859882
low,6.1000000000000005,6.2,285,0,285,0.005365048828284813,0.3704813127696043,2.7463779715610763
low,6.2,6.300000000000001,321,0,321,0.01697332777602023,0.362385784102746,2.6863658175536558
low,6.300000000000001,6.4,314,2,312,0.007635178287697775,0.38413210580316437,2.847571300318857
low,6.4,6.5,262,0,262,0.007414350758034205,0.3347485609191472,2.481491082093638
low,6.5,6.6000000000000005,270,0,270,0.011370898890621373,0.3701121685877553,2.74364150574103
low,6.6000000000000005,6.7,292,1,291,0.04361473937932425,0.3616472962945261,2.6808914074313215
low,6.7,6.800000000000001,271,0,271,0.024811169594608273,0.3297784938522117,2.444647974926445
low,6.800000000000001,6.9,292,0,292,0.050754625507147155,0.33506646433173937,2.4838477000911836
low,6.9,7.0,278,2,276,0.06800978966475846,0.34117617774297937,2.529139005608706
low,7.0,7.1000000000000005,325,0,325,0.14418809334720972,0.3758337491676511,2.786055582579798
low,7.1000000000000005,7.2,294,1,293,0.12387459748855378,0.37040920854694104,2.745843462958474
low,7.2,7.300000000000001,253,0,253,0.13939614373334175,0.3318456596932138,2.4599718753057935
low,7.300000000000001,7.4,286,0,286,0.124492765443873,0.3486390356893163,2.584461171564902
low,7.4,7.5,301,0,301,0.23646481883342307,0.33470696984166626,2.481182767436272
low,7.5,7.6000000000000005,283,0,283,0.15195827940294349,0.345280737676807,2.5595661083981702
low,7.6000000000000005,7.7,244,0,244,0.07638882131997882,0.40270325248907,2.985239210701476
low,7.7,7.800000000000001,269,1,268,0.48235589575524496,0.3678572576843848,2.726925851214345
low,7.800000000000001,7.9,278,0,278,0.3626907452984389,0.3154438222670146,2.338385054465379
low,7.9,8.0,292,0,292,0.4561401571064596,0.31582833913156927,2.341235477982323
low,8.0,8.1,299,0,299,0.49110108990239953,0.38279461489236954,2.8376564801971353
high,8.0,10.0,5270,6,5264,0.32984418037209917,0.4621986220829625,3.4262783855010004
low,8.1,8.200000000000001,267,0,267,0.555140684702013,0.3751167157573836,2.7807402139094846
low,8.200000000000001,8.3,287,1,286,0.6735587891788266,0.3335167711745204,2.4723598247167193
low,8.3,8.4,275,0,275,0.8023694135506283,0.3354963527642316,2.487034463041249
low,8.4,8.6,526,1,525,0.9208587411342211,0.3032031152029284,2.2476446929993084
low,8.6,9.4,2027,1,2026,0.28098404229976626,0.4641552273039553,3.440782700004221
high,10.0,12.0,5029,4,5025,-0.004535869089677735,0.31775065436357597,2.3554856007971887
high,12.0,14.0,4690,6,4684,-0.00047459777346736676,0.3014018714929292,2.234292073377084
high,14.0,16.0,4169,5,4164,-0.0037127574635389404,0.29140925338878687,2.1602167953710767
high,16.0,18.0,4127,5,4122,0.003356629671650957,0.29147297232148284,2.1606891438191522
high,18.0,20.0,4130,5,4125,-0.006530263216675269,0.29346736208239843,2.1754735551168194
high,20.0,22.0,3823,10,3813,0.0006418165275914323,0.28409540532009414,2.1059992396378577
high,22.0,24.0,3959,8,3951,-0.0008083828384546354,0.2838430912120562,2.1041288351549725
high,24.0,26.0,4079,5,4074,-0.00838666559412471,0.27496212987155033,2.0382942687378023
high,26.0,28.0,3925,8,3917,0.0041006325954746625,0.28195448133406464,2.090128570129421
high,28.0,30.0,4614,11,4603,-0.007597730650801493,0.23456572627033567,1.7388357288419982
high,30.0,32.0,3557,10,3547,-0.0007946789930020071,0.2798075101626709,2.0742130728358794
high,32.0,34.0,3337,5,3332,-0.00043815477708597506,0.29380962385661435,2.178010741649082
high,34.0,36.0,3132,5,3127,0.00022287122528752423,0.28881582197144984,2.1409916882743576
high,36.0,38.0,3104,3,3101,-0.0025253966889224877,0.28579240231249126,2.118579078342498
high,38.0,40.0,3186,5,3181,-0.0008550046965690727,0.29717062290528096,2.2029258275968475
high,40.0,42.0,3150,7,3143,-0.0020926339653178916,0.30071443958512734,2.229196140644549
high,42.0,44.0,3082,3,3079,-0.008489118232575588,0.29767812616254685,2.20668794924296
high,44.0,46.0,3319,8,3311,0.003015985144686706,0.28706717674763405,2.1280289812302113
high,46.0,48.0,3236,5,3231,-0.000889858680523492,0.29982885670782455,2.2226313147751036
high,48.0,50.0,3196,10,3186,-0.002360041239023336,0.28439572945852354,2.1082255424760348
high,50.0,52.0,3013,4,3009,-0.0032451431018336585,0.29758809401068365,2.2060205409011977
high,52.0,54.0,2790,9,2781,0.001858482132842565,0.2994494603295289,2.219818849422798
high,54.0,56.0,2925,6,2919,-0.0012371786754687975,0.29972056215714615,2.221828527270924
high,56.0,58.0,2708,8,2700,0.002592828909923961,0.2945983892351247,2.1838578593999793
high,58.0,60.0,2968,12,2956,0.018304060866166427,0.3058247455977775,2.2670788391163246
high,60.0,62.0,5168,52,5116,-0.019901483960636512,0.194345118277091,1.4406803617880757
