region,P_left,P_right,n_before,n_removed,n_after,median_resid,mad,threshold
high,112.0,114.0,1702,7,1695,-0.00893912596121682,0.4386035404912505,3.2513680456616396
high,114.0,116.0,1576,9,1567,-0.007493248385429974,0.44395494282228354,3.2910379911415877
high,116.0,118.0,1642,7,1635,0.0023624466628375806,0.4482258146552798,3.322697964039589
high,118.0,120.0,1676,12,1664,-0.003122551719799249,0.48756579313810056,3.614325224532739
high,120.0,122.0,1670,7,1663,-0.01235408360686474,0.4957731275666386,3.6751661946514917
high,122.0,124.0,1569,7,1562,0.005136819153156225,0.5087085896319659,3.771056774941763
high,124.0,126.0,1614,6,1608,-0.004179162884927923,0.5015061959679512,3.717665430710422
high,126.0,128.0,1505,8,1497,-0.014682113489017823,0.541956549916335,4.017523904529791
high,128.0,130.0,1566,9,1557,0.01063045772942317,0.5149842104138094,3.8175779517975688
high,130.0,132.0,1536,9,1527,-0.014380237772834592,0.6109506354846643,4.528977060847817
high,132.0,134.0,1421,3,1418,-0.01234677687328567,0.6075215080290484,4.503556939019335
high,134.0,136.0,1496,9,1487,-0.0033841309604707437,0.5612281355517326,4.160384168844994
high,136.0,138.0,1440,10,1430,-0.006807322081667788,0.576891280301179,4.276495060872639
high,138.0,140.0,1446,9,1437,-0.0013496213936416979,0.6005261133316124,4.451700078127242
high,140.0,142.0,1417,6,1411,-0.0030439145072356233,0.6424882506443761,4.762765402026759
high,142.0,144.0,1415,6,1409,-0.009790459642752491,0.6180022344565974,4.581250564026757
high,144.0,146.0,1374,9,1365,-0.01042720509992301,0.6324293985746112,4.688199131633592
high,146.0,148.0,1332,2,1330,-0.007121801242244263,0.6776347111655401,5.023306113870149
high,148.0,150.0,1306,2,1304,-0.012190523467494607,0.7288839161603873,5.403216470496951
high,150.0,152.0,1251,1,1250,-0.00851972265976908,0.7108492241123487,5.26952529834484
high,152.0,154.0,1230,2,1228,0.009535519348249366,0.7548357438550104,5.595597369197192
high,154.0,156.0,1204,7,1197,-0.011699306119798525,0.7390689488123896,5.478718117546244
high,156.0,158.0,1174,5,1169,-0.01157500091024577,0.7197646638550537,5.335615453157513
high,158.0,160.0,1102,3,1099,-0.0031834672992623325,0.7330072504418808,5.433782747525662
high,160.0,162.0,1122,1,1121,-0.007035988879343424,0.8632917791646131,6.399581958947277
high,162.0,164.0,1173,3,1170,-0.0040520526745346785,0.8576480514367502,6.357745005300629
high,164.0,166.0,1175,8,1167,-0.023917346482128288,0.8756328260825352,6.491066139749834
high,166.0,168.0,1139,4,1135,0.009123498326476742,0.8387691559837984,6.217795753307898
high,168.0,170.0,1097,3,1094,-0.013462619044174673,0.8211595654248516,6.087255858494425
high,170.0,172.0,1136,7,1129,-0.018677904355184793,0.8436714357597688,6.254136353287166
high,172.0,174.0,1121,2,1119,0.007193820516794958,0.8772833643336577,6.503301579805404
high,174.0,176.0,1134,3,1131,-0.016476921350386142,0.9091429311877341,6.739476548894673
high,176.0,178.0,1109,2,1107,-0.03110103091214178,0.9160754566795566,6.790867360365552
high,178.0,180.0,1006,4,1002,0.00283587513647765,0.8498483458977617,6.299925788140107
high,180.0,182.0,1042,2,1040,-0.020464828450320827,0.9240394264730827,6.849904268444962
high,182.0,184.0,1103,1,1102,0.008526541424011214,0.8967771772952773,6.64780921528989
high,184.0,186.0,970,2,968,-0.0011204562947568775,1.0156427460352995,7.5289596763596744
high,186.0,188.0,1016,4,1012,-0.026556523030654144,0.9295221499292583,6.890547697425592
high,188.0,190.0,936,1,935,-0.010181119056053234,1.0416517822810967,7.721764662049769
high,190.0,192.0,1015,0,1015,-0.007402381681025361,0.9589637293222584,7.108798125465901
high,192.0,194.0,948,2,946,-0.01876334001889246,1.1019510376726105,8.168763042267061
high,194.0,196.0,960,1,959,-0.01726377618498809,1.062391583369494,7.875508807518058
high,196.0,198.0,977,4,973,-0.02043652914415439,1.0776754515125209,7.988808122062316
high,198.0,200.0,985,1,984,-0.00918851320363423,1.1293900545586437,8.372168474443226
high,200.0,202.0,922,2,920,-0.03214252365378023,1.0920651112079516,8.095478669384544
high,202.0,204.0,912,0,912,-0.016532426608804496,1.116246531980524,8.274735541571625
high,204.0,206.0,1008,2,1006,-0.032476860900088056,1.0214802208181095,7.5722328769246445
high,206.0,208.0,937,1,936,0.01741103205538952,1.1201559373102787,8.303715963281096
high,208.0,210.0,963,4,959,-0.009595878732251428,1.1245767905440314,8.336487748302904
high,210.0,212.0,964,0,964,-0.017726421128500203,1.1571413563772008,8.57788887482419
