region,bin_source,sigma_switch_threshold,P_left,P_right,P_med,sigma_local,n,base_bin_count,bin_width,min_bin_samples,station_code,station_name,scheme_code,scheme_name,power_col_for_prediction,power_threshold_axis,power_switch_threshold,fan_threshold_b
low,low_lookup,9.4,8.1,8.200000000000001,8.1479775,0.5294924448906376,267,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,8.200000000000001,8.3,8.247284,0.516092925936618,286,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,8.3,8.4,8.333319,0.5421586747249909,275,1,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,8.4,8.6,8.486906,0.5083900246767807,525,2,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,8.6,9.4,8.692669,0.6680022059520493,2026,8,0.1,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
high,high_lookup,9.4,10.0,12.0,10.977753,0.5048658291794685,5025,1,2.0,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
high,high_lookup,9.4,12.0,14.0,13.0028345,0.505245644076071,4684,1,2.0,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
high,high_lookup,9.4,14.0,16.0,14.95981,0.4866582165365609,4163,1,2.0,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
high,high_lookup,9.4,16.0,18.0,17.012974,0.4967714828472693,4121,1,2.0,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
high,high_lookup,9.4,18.0,20.0,19.005482,0.4891328488577422,4123,1,2.0,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
high,high_lookup,9.4,20.0,22.0,20.977764999999998,0.47318410321496435,3812,1,2.0,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
high,high_lookup,9.4,22.0,24.0,23.019894,0.4655823938553908,3950,1,2.0,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
high,high_lookup,9.4,24.0,26.0,25.004784,0.46019610466003547,4071,1,2.0,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
high,high_lookup,9.4,26.0,28.0,26.96436,0.45813848400259427,3914,1,2.0,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
high,high_lookup,9.4,28.0,30.0,29.165014,0.4212078397920125,4602,1,2.0,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
high,high_lookup,9.4,30.0,32.0,30.978136,0.45331712828341825,3545,1,2.0,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
