region,P_left,P_right,n_before,n_removed,n_after,median_resid,mad,threshold
high,186.0,188.0,975,9,966,-0.010469110245046487,0.5709415100968065,4.232389414347627
high,188.0,190.0,921,8,913,-0.01608883826028329,0.5865038799286761,4.347753261911276
high,190.0,192.0,988,4,984,-0.02570249734000618,0.6524914193671794,4.8369188917689
high,192.0,194.0,1002,2,1000,-0.04806183460107638,0.6958313431280432,5.1581977466081845
high,194.0,196.0,1019,3,1016,-0.04258843715070659,0.7296368308724035,5.408797827257127
high,196.0,198.0,983,4,979,-0.03845332967082937,0.6345291424325272,4.7037645328523245
high,198.0,200.0,965,3,962,-0.029276223420490854,0.7288700718293333,5.403113842470847
high,200.0,202.0,1018,4,1014,-0.03540420263281652,0.758346335137333,5.621621382373049
high,202.0,204.0,933,4,929,-0.04777970204877535,0.772836837397334,5.729039475626436
high,204.0,206.0,922,10,912,-0.04673628718293621,0.7515614842753016,5.5713252829328095
high,206.0,208.0,934,3,931,-0.07691350669122365,0.7144456490321982,5.296185596275685
high,208.0,210.0,928,4,924,-0.06704596896737058,0.7949142804677276,5.892699561107264
high,210.0,212.0,933,4,929,-0.038706528476500246,0.7797780023056684,5.78049433109192
high,212.0,214.0,942,4,938,-0.030800763394900343,0.8344325753494837,6.185648681065722
high,214.0,216.0,895,0,895,-0.04125715230053828,0.8752237061484052,6.488033333678127
high,216.0,218.0,889,2,887,-0.025397978093543383,0.820361901226474,6.081342773791851
high,218.0,220.0,849,0,849,-0.07480878330759122,0.8928590448385476,6.618764099388153
high,220.0,222.0,845,1,844,-0.056262193519637016,0.8852469635898039,6.562335741091216
high,222.0,224.0,862,2,860,-0.03773188922341264,0.8812296620261981,6.5325554846002065
high,224.0,226.0,791,1,790,-0.022146745694498815,0.9351935468649399,6.9325897629097994
high,226.0,228.0,818,1,817,-0.07414854455759734,0.9093380862088383,6.740923233066117
high,228.0,230.0,814,3,811,-0.07013542402347417,0.8249546728614372,6.115388989921834
high,230.0,232.0,779,3,776,-0.03342043945392881,0.916537538393638,6.794292772112039
high,232.0,234.0,780,5,775,-0.03265566778305762,0.9101742069929526,6.747121396438757
high,234.0,236.0,791,2,789,-0.0603985882341318,0.9620063002494459,7.131352703749142
high,236.0,238.0,773,6,767,-0.0225547493543643,0.8926003596144638,6.61684646582202
high,238.0,240.0,766,2,764,-0.044904589923330906,0.9352106588470093,6.932716614032879
high,240.0,242.0,863,5,858,-0.02169492150803176,0.8979163622703576,6.656253993510161
high,242.0,244.0,804,2,802,-0.022966171158083304,0.9400731654918952,6.968762375791418
high,244.0,246.0,781,5,776,-0.027887011082532887,0.8870167723016782,6.575455333072339
high,246.0,248.0,794,0,794,-0.04719518637624498,1.0391264369942832,7.703044277438621
high,248.0,250.0,736,2,734,-0.018809865922061686,1.0244520693732526,7.594263190263922
high,250.0,252.0,762,1,761,0.014468912197721506,0.9153402942105331,6.785417600982681
high,252.0,254.0,737,2,735,-0.042154769887596366,1.0344568970962547,7.668428978174536
high,254.0,256.0,681,2,679,-0.038003233562407424,1.0162804109940167,7.533686686698645
high,256.0,258.0,748,3,745,-0.00479686592598183,0.9836521619386316,7.291813476451075
high,258.0,260.0,710,3,707,-0.06997995599596196,0.9905483138085218,7.342934650262571
high,260.0,262.0,723,1,722,-0.007754969432330228,1.138482744821446,8.43957258736138
high,262.0,264.0,746,4,742,-0.016344537814429128,0.9663126927678451,7.163275991488036
high,264.0,266.0,764,1,763,-0.05095329966791429,1.09667181397334,8.129628156984369
high,266.0,268.0,749,0,749,-0.022475604253572534,0.9002957235829623,6.673892198920499
high,268.0,270.0,715,3,712,-0.010272455603963948,1.0198464251147126,7.5601215493753635
high,270.0,272.0,803,1,802,-0.051961541237472986,0.9918600712657879,7.352658708293285
high,272.0,274.0,787,0,787,0.007710804386780623,1.0696618227482197,7.929403092032552
high,274.0,276.0,743,1,742,-0.041626453943511166,1.1370238548538687,8.428757836031728
high,276.0,278.0,720,1,719,0.0002597387376130911,1.0482223693845643,7.7704724242477745
high,278.0,280.0,752,2,750,0.018490393384192227,1.0866508146149596,8.055342488740695
high,280.0,282.0,715,1,714,-0.04981278249264598,1.0703752823558128,7.93469196810364
high,282.0,284.0,686,1,685,-0.012434312748671683,1.062152202510072,7.873734277207164
high,284.0,286.0,721,1,720,-0.005793916355354867,1.0760778256956893,7.976964921882145
high,286.0,288.0,782,1,781,-0.016434947146899415,1.0961351681807838,8.12565000172415
high,288.0,290.0,712,0,712,-0.019905288107120445,1.0246524390943192,7.595748531006188
high,290.0,292.0,732,3,729,-0.03576485713193689,1.106189841261013,8.20018529326789
high,292.0,294.0,732,1,731,-0.0077612323509694825,1.1331806530133903,8.400268180788261
high,294.0,296.0,764,0,764,-0.02722273525547747,1.0773433774831642,7.986346457282696
high,296.0,298.0,694,1,693,-0.0427479634555894,1.2090680258217361,8.962821275416529
high,298.0,300.0,694,2,692,-0.034197125889947166,1.1741977515033222,8.704327931894127
high,300.0,302.0,732,0,732,0.05005657973717703,1.211701746244103,8.982345044907536
high,302.0,304.0,730,1,729,-0.04751047598224423,1.1998483788341932,8.894476032297874
high,304.0,306.0,763,1,762,0.04173056908579387,1.1059813777306742,8.198639953117487
high,306.0,308.0,765,0,765,-0.03501817546258046,1.0932534565458827,8.104287873374629
high,308.0,310.0,793,0,793,-0.008742487653921494,1.0494614226215067,7.779657525893229
high,310.0,312.0,741,2,739,-0.007771349095967217,1.126030041724655,8.347260699304867
high,312.0,314.0,835,1,834,-0.006948850580724475,1.0253195188728812,7.600693593404668
high,314.0,316.0,819,2,817,-0.025173060923176394,1.0911027088724694,8.088344380871614
high,316.0,318.0,684,1,683,0.015927911887545942,1.0799027466341613,8.005319060799037
high,318.0,320.0,772,2,770,0.0033839869712992687,1.0376346949934394,7.691985993986366
high,320.0,322.0,800,1,799,-0.022271246610235274,1.0022384339145587,7.429593510608623
high,322.0,324.0,810,0,810,0.004937676246365541,1.0254630504316937,7.601757592850145
high,324.0,326.0,835,1,834,-0.02311564567610791,1.0322146404572505,7.6518071297095975
high,326.0,328.0,894,1,893,-0.0038112736077224874,1.0006032516865018,7.417471904752038
high,328.0,330.0,981,1,980,0.0027634344250264675,0.993040896193075,7.361412163479265
high,330.0,332.0,962,2,960,-0.025582382022855565,0.9959697732458803,7.38312392907171
